utt_id,audio_path,reference,hypothesis,normalized_reference,normalized_hypothesis,cer,status,raw_json
test_001,data/processed_audio/noise_5db/test_001.wav,今天我们测试一下中文语音识别系统,今天我们测试一下中文语音识别系统,今天我们测试一下中文语音识别系统,今天我们测试一下中文语音识别系统,0.0000,success,"{""text"": ""今天我们测试一下中文语音识别系统"", ""segments"": [], ""language"": ""auto"", ""duration"": 0.331, ""model"": ""sensevoice""}"
test_002,data/processed_audio/noise_5db/test_002.wav,我的新吉他非常的好看我已经迫不及待的想拿起它了,我的新吉他非常的好看我已经迫不及待的想拿起它了,我的新吉他非常的好看我已经迫不及待的想拿起它了,我的新吉他非常的好看我已经迫不及待的想拿起它了,0.0000,success,"{""text"": ""我的新吉他非常的好看我已经迫不及待的想拿起它了"", ""segments"": [], ""language"": ""auto"", ""duration"": 0.396, ""model"": ""sensevoice""}"
test_003,data/processed_audio/noise_5db/test_003.wav,从这个角度看不到月亮,从这个角度看不到月亮,从这个角度看不到月亮,从这个角度看不到月亮,0.0000,success,"{""text"": ""从这个角度看不到月亮"", ""segments"": [], ""language"": ""auto"", ""duration"": 0.294, ""model"": ""sensevoice""}"
test_004,data/processed_audio/noise_5db/test_004.wav,现在是二零二六年五月二十七日的晚上九点四十五分,现在是二零二六年五月二十七日的晚上九点四十五分,现在是二零二六年五月二十七日的晚上九点四十五分,现在是二零二六年五月二十七日的晚上九点四十五分,0.0000,success,"{""text"": ""现在是二零二六年五月二十七日的晚上九点四十五分"", ""segments"": [], ""language"": ""auto"", ""duration"": 0.581, ""model"": ""sensevoice""}"
test_005,data/processed_audio/noise_5db/test_005.wav,明天下午我们一起去附近公园的草坪上喝酒怎么样,明天下午我们一起去附近公园的草坪上喝酒怎么样,明天下午我们一起去附近公园的草坪上喝酒怎么样,明天下午我们一起去附近公园的草坪上喝酒怎么样,0.0000,success,"{""text"": ""明天下午我们一起去附近公园的草坪上喝酒怎么样"", ""segments"": [], ""language"": ""auto"", ""duration"": 0.391, ""model"": ""sensevoice""}"
test_006,data/processed_audio/noise_5db/test_006.wav,我买了两个哑铃但是我从来都没有用过,我买了两个哑铃但是我从来都没有用过,我买了两个哑铃但是我从来都没有用过,我买了两个哑铃但是我从来都没有用过,0.0000,success,"{""text"": ""我买了两个哑铃但是我从来都没有用过"", ""segments"": [], ""language"": ""auto"", ""duration"": 0.33, ""model"": ""sensevoice""}"
test_007,data/processed_audio/noise_5db/test_007.wav,今天的气温是二十五度到三十度到了晚上空气非常的清新,今天的气温是二十五度到三十度 到了晚上空气非常的清新,今天的气温是二十五度到三十度到了晚上空气非常的清新,今天的气温是二十五度到三十度到了晚上空气非常的清新,0.0000,success,"{""text"": ""今天的气温是二十五度到三十度 到了晚上空气非常的清新"", ""segments"": [], ""language"": ""auto"", ""duration"": 0.602, ""model"": ""sensevoice""}"
test_008,data/processed_audio/noise_5db/test_008.wav,明天记得把你的论文初稿发给我,明天记得把你的论文书稿发给我,明天记得把你的论文初稿发给我,明天记得把你的论文书稿发给我,0.0714,success,"{""text"": ""明天记得把你的论文书稿发给我"", ""segments"": [], ""language"": ""auto"", ""duration"": 0.302, ""model"": ""sensevoice""}"
test_009,data/processed_audio/noise_5db/test_009.wav,我喜欢给在世界各地的朋友们寄明信片,我喜欢给在世界各地的朋友们寄明信片,我喜欢给在世界各地的朋友们寄明信片,我喜欢给在世界各地的朋友们寄明信片,0.0000,success,"{""text"": ""我喜欢给在世界各地的朋友们寄明信片"", ""segments"": [], ""language"": ""auto"", ""duration"": 0.349, ""model"": ""sensevoice""}"
test_010,data/processed_audio/noise_5db/test_010.wav,坚持每天锻炼三十分钟让我感到神清气爽,坚持每天锻炼三十分钟让我感到神清气爽,坚持每天锻炼三十分钟让我感到神清气爽,坚持每天锻炼三十分钟让我感到神清气爽,0.0000,success,"{""text"": ""坚持每天锻炼三十分钟让我感到神清气爽"", ""segments"": [], ""language"": ""auto"", ""duration"": 0.388, ""model"": ""sensevoice""}"
test_011,data/processed_audio/noise_5db/test_011.wav,明天晚上我们一起打游戏吧,明天晚上我们一起打游戏吧,明天晚上我们一起打游戏吧,明天晚上我们一起打游戏吧,0.0000,success,"{""text"": ""明天晚上我们一起打游戏吧"", ""segments"": [], ""language"": ""auto"", ""duration"": 0.315, ""model"": ""sensevoice""}"
