utt_id,audio_path,reference,hypothesis,normalized_reference,normalized_hypothesis,cer,status,raw_json
test_001,data/raw_audio/test_001.m4a,今天我们测试一下中文语音识别系统,今天我们测试一下中文语音识别系统,今天我们测试一下中文语音识别系统,今天我们测试一下中文语音识别系统,0.0000,success,"{""text"": ""今天我们测试一下中文语音识别系统"", ""segments"": [], ""language"": ""auto"", ""duration"": 0.385, ""model"": ""sensevoice""}"
test_002,data/raw_audio/test_002.m4a,我的新吉他非常的好看我已经迫不及待的想拿起它了,我的新吉他非常的好看我已经迫不及待的想拿起它了,我的新吉他非常的好看我已经迫不及待的想拿起它了,我的新吉他非常的好看我已经迫不及待的想拿起它了,0.0000,success,"{""text"": ""我的新吉他非常的好看我已经迫不及待的想拿起它了"", ""segments"": [], ""language"": ""auto"", ""duration"": 0.42, ""model"": ""sensevoice""}"
test_003,data/raw_audio/test_003.m4a,从这个角度看不到月亮,从这个角度看不到月亮,从这个角度看不到月亮,从这个角度看不到月亮,0.0000,success,"{""text"": ""从这个角度看不到月亮"", ""segments"": [], ""language"": ""auto"", ""duration"": 0.314, ""model"": ""sensevoice""}"
test_004,data/raw_audio/test_004.m4a,现在是二零二六年五月二十七日的晚上九点四十五分,现在是二零二六年五月二十七日的晚上九点四十五分,现在是二零二六年五月二十七日的晚上九点四十五分,现在是二零二六年五月二十七日的晚上九点四十五分,0.0000,success,"{""text"": ""现在是二零二六年五月二十七日的晚上九点四十五分"", ""segments"": [], ""language"": ""auto"", ""duration"": 0.652, ""model"": ""sensevoice""}"
test_005,data/raw_audio/test_005.m4a,明天下午我们一起去附近公园的草坪上喝酒怎么样,明天下午我们一起去附近公园的草坪上喝酒怎么样,明天下午我们一起去附近公园的草坪上喝酒怎么样,明天下午我们一起去附近公园的草坪上喝酒怎么样,0.0000,success,"{""text"": ""明天下午我们一起去附近公园的草坪上喝酒怎么样"", ""segments"": [], ""language"": ""auto"", ""duration"": 0.431, ""model"": ""sensevoice""}"
test_006,data/raw_audio/test_006.m4a,我买了两个哑铃但是我从来都没有用过,我买了两个哑铃但是我从来都没有用过,我买了两个哑铃但是我从来都没有用过,我买了两个哑铃但是我从来都没有用过,0.0000,success,"{""text"": ""我买了两个哑铃但是我从来都没有用过"", ""segments"": [], ""language"": ""auto"", ""duration"": 0.394, ""model"": ""sensevoice""}"
test_007,data/raw_audio/test_007.m4a,今天的气温是二十五度到三十度到了晚上空气非常的清新,今天的气温是二十五度到三十度到了晚上空气非常的清新,今天的气温是二十五度到三十度到了晚上空气非常的清新,今天的气温是二十五度到三十度到了晚上空气非常的清新,0.0000,success,"{""text"": ""今天的气温是二十五度到三十度到了晚上空气非常的清新"", ""segments"": [], ""language"": ""auto"", ""duration"": 0.6, ""model"": ""sensevoice""}"
test_008,data/raw_audio/test_008.m4a,明天记得把你的论文初稿发给我,明天记得把你的论文初稿发给我,明天记得把你的论文初稿发给我,明天记得把你的论文初稿发给我,0.0000,success,"{""text"": ""明天记得把你的论文初稿发给我"", ""segments"": [], ""language"": ""auto"", ""duration"": 0.288, ""model"": ""sensevoice""}"
test_009,data/raw_audio/test_009.m4a,我喜欢给在世界各地的朋友们寄明信片,我喜欢给在世界各地的朋友们寄明信片,我喜欢给在世界各地的朋友们寄明信片,我喜欢给在世界各地的朋友们寄明信片,0.0000,success,"{""text"": ""我喜欢给在世界各地的朋友们寄明信片"", ""segments"": [], ""language"": ""auto"", ""duration"": 0.339, ""model"": ""sensevoice""}"
test_010,data/raw_audio/test_010.m4a,坚持每天锻炼三十分钟让我感到神清气爽,坚持每天锻炼三十分钟让我感到神清气爽,坚持每天锻炼三十分钟让我感到神清气爽,坚持每天锻炼三十分钟让我感到神清气爽,0.0000,success,"{""text"": ""坚持每天锻炼三十分钟让我感到神清气爽"", ""segments"": [], ""language"": ""auto"", ""duration"": 0.349, ""model"": ""sensevoice""}"
test_011,data/raw_audio/test_011.m4a,明天晚上我们一起打游戏吧,明天晚上我们一起打游戏吧,明天晚上我们一起打游戏吧,明天晚上我们一起打游戏吧,0.0000,success,"{""text"": ""明天晚上我们一起打游戏吧"", ""segments"": [], ""language"": ""auto"", ""duration"": 0.276, ""model"": ""sensevoice""}"
