utt_id,audio_path,reference
basketball_001,data/basketball_commentary/segments/basketball_001.wav,首先还是主队圣安东尼奥马刺跳到球权来吧西决的第四场来了嗯
basketball_002,data/basketball_commentary/segments/basketball_002.wav,对位上哈腾去对文班卡森去防卡斯尔
basketball_003,data/basketball_commentary/segments/basketball_003.wav,运球往里杀这边协防位置有人哦这球没投对再分出来了弧顶有投手
basketball_004,data/basketball_commentary/segments/basketball_004.wav,两边打来打去都是一五挡拆哎两队挡拆之后持球人的这个效率在今年季后赛一个第一个第二
basketball_005,data/basketball_commentary/segments/basketball_005.wav,二十四秒违例了文班今天的第一个封盖最终还是算在了切特的身上
basketball_006,data/basketball_commentary/segments/basketball_006.wav,这样的话通过罚球雷霆队在第一节开场还是拿到两分的领先
basketball_007,data/basketball_commentary/segments/basketball_007.wav,这边哈腾完全没有抓到哈珀的时间对镜头也给到了福克斯福克斯因为脚踝伤势依旧还是缺阵
basketball_008,data/basketball_commentary/segments/basketball_008.wav,一个赌博式的传球没有能够塞过去
basketball_009,data/basketball_commentary/segments/basketball_009.wav,好球亚历山大今天亚历山大终于拿出了能够媲美几位先贤的中距离对
basketball_010,data/basketball_commentary/segments/basketball_010.wav,额这球文班觉得可以挑战
basketball_011,data/basketball_commentary/segments/basketball_011.wav,今天的雷霆最重要的呢是什么呢就是说他摆双塔要防守要篮板的同时他半场还得了六十分
