provider,model,utt_id,reference,hypothesis,corrected_hypothesis,cer_before,cer_after,delta_cer,changed,status,error_message
qwen,qwen3.7-max,basketball_001,首先还是主队圣安东尼奥马刺跳到球权来吧西决的第四场来了嗯,首先还是助队山东密奥马刺跳到球权来吧七决的第四场来了嗯,首先还是主队圣安东尼奥马刺跳到球权来吧西决的第四场来了嗯,0.1786,0.0000,-0.1786,True,exact,
qwen,qwen3.7-max,basketball_002,对位上哈腾去对文班卡森去防卡斯尔,对位上哈滕去对文班卡森恩去防卡瑟尔,对位上哈腾去对文班卡森去防卡斯尔,0.1875,0.0000,-0.1875,True,exact,
qwen,qwen3.7-max,basketball_003,运球往里杀这边协防位置有人哦这球没投对再分出来了弧顶有投手,运球往里杀这边前方位置有人哦这球没投对但分出来了湖顶有投手,运球往里杀这边前方位置有人哦这球没投对但分出来了弧顶有投手,0.1379,0.1034,-0.0345,True,improved,
qwen,qwen3.7-max,basketball_004,两边打来打去都是一五挡拆哎两队挡拆之后持球人的这个效率在今年季后赛一个第一个第二,两边打来打去都是一五挡拆对哎两队挡拆之后十修人的这个效率啊在今年季后赛一个第一第二,两边打来打去都是一五挡拆对哎两队挡拆之后持球人的这个效率啊在今年季后赛一个第一第二,0.1250,0.0750,-0.0500,True,improved,
qwen,qwen3.7-max,basketball_005,二十四秒违例了文班今天的第一个封盖最终还是算在了切特的身上,阿十瓦为力了嗯本丹今天的第一个分盖最终还是算在了切特的身上,阿十瓦违例了文班的第一个封盖最终还是算在了切特的身上,0.3103,0.1724,-0.1379,True,improved,
qwen,qwen3.7-max,basketball_006,这样的话通过罚球雷霆队在第一节开场还是拿到两分的领先,这样的话通过罚球已形队在第二节开场还是拿到两分的领先,这样的话通过罚球已形队在第二节开场还是拿到两分的领先,0.1154,0.1154,0.0000,False,unchanged,
qwen,qwen3.7-max,basketball_007,这边哈腾完全没有抓到哈珀的时间对镜头也给到了福克斯福克斯因为脚踝伤势依旧还是缺阵,这边哈滕完全没有抓到哈珀的时间对镜头也给到了福克斯啊福克斯因为脚踝伤势依旧还是缺阵,这边哈腾完全没有抓到哈珀的时间对镜头也给到了福克斯啊福克斯因为脚踝伤势依旧还是缺阵,0.0500,0.0250,-0.0250,True,improved,
qwen,qwen3.7-max,basketball_008,一个赌博式的传球没有能够塞过去,一个赌博式的传球没有能够塞 过去,一个赌博式的传球没有能够塞过去,0.0000,0.0000,0.0000,False,exact,
qwen,qwen3.7-max,basketball_009,好球亚历山大今天亚历山大终于拿出了能够媲美几位先贤的中距离对,好球亚斯连亚山大终于拿出了能够媲美几位先贤的中距离啊对,好球亚历山大终于拿出了能够媲美几位先贤的中距离啊对,0.2333,0.2333,0.0000,True,unchanged,
qwen,qwen3.7-max,basketball_010,额这球文班觉得可以挑战,呃这球文班觉得可以挑战,呃这球文班觉得可以挑战,0.0909,0.0909,0.0000,False,unchanged,
qwen,qwen3.7-max,basketball_011,今天的雷霆最重要的呢是什么呢就是说他摆双塔要防守要篮板的同时他半场还得了六十分,今天的雷霆最主要的呢是什么呢就是说他摆双塔要防守要篮板的同时他半场还得了六十分,今天的雷霆最主要的呢是什么呢就是说他摆双塔要防守要篮板的同时他半场还得了六十分,0.0256,0.0256,0.0000,False,unchanged,
