utt_id,audio_path,reference,hypothesis,corrected_hypothesis,normalized_reference,normalized_hypothesis,normalized_corrected_hypothesis,original_cer,corrected_cer,status
test_001,data/processed_audio/speed_1_1/test_001.wav,今天我们测试一下中文语音识别系统,今天我们测试一下中文语音识别系统,今天我们测试一下中文语音识别系统,今天我们测试一下中文语音识别系统,今天我们测试一下中文语音识别系统,今天我们测试一下中文语音识别系统,0.0000,0.0000,skipped_no_error
test_002,data/processed_audio/speed_1_1/test_002.wav,我的新吉他非常的好看我已经迫不及待的想拿起它了,我的新吉他非常的好看我已经迫不及待的想拿起它了,我的新吉他非常的好看我已经迫不及待的想拿起它了,我的新吉他非常的好看我已经迫不及待的想拿起它了,我的新吉他非常的好看我已经迫不及待的想拿起它了,我的新吉他非常的好看我已经迫不及待的想拿起它了,0.0000,0.0000,skipped_no_error
test_003,data/processed_audio/speed_1_1/test_003.wav,从这个角度看不到月亮,从这个角度看不到月亮,从这个角度看不到月亮,从这个角度看不到月亮,从这个角度看不到月亮,从这个角度看不到月亮,0.0000,0.0000,skipped_no_error
test_004,data/processed_audio/speed_1_1/test_004.wav,现在是二零二六年五月二十七日的晚上九点四十五分,现在是二零二六年五月二十七日的晚上九点四十五分,现在是二零二六年五月二十七日的晚上九点四十五分,现在是二零二六年五月二十七日的晚上九点四十五分,现在是二零二六年五月二十七日的晚上九点四十五分,现在是二零二六年五月二十七日的晚上九点四十五分,0.0000,0.0000,skipped_no_error
test_005,data/processed_audio/speed_1_1/test_005.wav,明天下午我们一起去附近公园的草坪上喝酒怎么样,明天下午我们一起去附近公园的草坪上喝酒怎么样,明天下午我们一起去附近公园的草坪上喝酒怎么样,明天下午我们一起去附近公园的草坪上喝酒怎么样,明天下午我们一起去附近公园的草坪上喝酒怎么样,明天下午我们一起去附近公园的草坪上喝酒怎么样,0.0000,0.0000,skipped_no_error
test_006,data/processed_audio/speed_1_1/test_006.wav,我买了两个哑铃但是我从来都没有用过,我买了两个哑铃但是我从来都没有用过,我买了两个哑铃但是我从来都没有用过,我买了两个哑铃但是我从来都没有用过,我买了两个哑铃但是我从来都没有用过,我买了两个哑铃但是我从来都没有用过,0.0000,0.0000,skipped_no_error
test_007,data/processed_audio/speed_1_1/test_007.wav,今天的气温是二十五度到三十度到了晚上空气非常的清新,今天的气温是二十五度到三十度到了晚上空气非常的清新,今天的气温是二十五度到三十度到了晚上空气非常的清新,今天的气温是二十五度到三十度到了晚上空气非常的清新,今天的气温是二十五度到三十度到了晚上空气非常的清新,今天的气温是二十五度到三十度到了晚上空气非常的清新,0.0000,0.0000,skipped_no_error
test_008,data/processed_audio/speed_1_1/test_008.wav,明天记得把你的论文初稿发给我,明天记得把你的论文初稿发给我,明天记得把你的论文初稿发给我,明天记得把你的论文初稿发给我,明天记得把你的论文初稿发给我,明天记得把你的论文初稿发给我,0.0000,0.0000,skipped_no_error
test_009,data/processed_audio/speed_1_1/test_009.wav,我喜欢给在世界各地的朋友们寄明信片,我喜欢给在世界各地的朋友们寄明信片,我喜欢给在世界各地的朋友们寄明信片,我喜欢给在世界各地的朋友们寄明信片,我喜欢给在世界各地的朋友们寄明信片,我喜欢给在世界各地的朋友们寄明信片,0.0000,0.0000,skipped_no_error
test_010,data/processed_audio/speed_1_1/test_010.wav,坚持每天锻炼三十分钟让我感到神清气爽,坚持每天锻炼三十分钟让我感到神经气爽,坚持每天锻炼三十分钟让我感到神清气爽,坚持每天锻炼三十分钟让我感到神清气爽,坚持每天锻炼三十分钟让我感到神经气爽,坚持每天锻炼三十分钟让我感到神清气爽,0.0556,0.0000,success
test_011,data/processed_audio/speed_1_1/test_011.wav,明天晚上我们一起打游戏吧,明天晚上我们一起打游戏吧,明天晚上我们一起打游戏吧,明天晚上我们一起打游戏吧,明天晚上我们一起打游戏吧,明天晚上我们一起打游戏吧,0.0000,0.0000,skipped_no_error
